attendance,behavior,quiz_score,mid_score,final_score,previous_grade,current_grade,decline
present,disturbing,98,81,71,54,75,0
present,disturbing,60,61,54,75,50,1
late,not active,99,41,49,78,55,1
present,active,83,62,54,87,66,1
late,not active,64,64,72,86,58,1
absent,active,59,71,96,99,65,1
absent,disturbing,85,60,57,94,49,1
absent,not active,78,55,95,86,63,1
present,not active,60,73,78,94,67,1
absent,not active,66,78,87,80,64,1
late,disturbing,47,86,88,73,60,1
late,disturbing,56,55,55,86,42,1
late,active,49,76,66,53,58,0
present,not active,87,87,61,67,75,0
absent,active,93,86,80,94,76,1
absent,not active,95,78,75,63,69,0
absent,disturbing,83,96,86,77,70,1
present,not active,79,40,85,58,65,0
late,not active,72,87,69,55,68,0
absent,not active,99,44,85,54,63,0
late,not active,95,87,48,55,68,0
late,not active,80,78,73,62,69,0
present,disturbing,79,61,42,59,52,1
present,active,79,84,87,57,83,0
present,active,64,44,96,55,68,0
present,disturbing,81,76,67,85,66,1
late,disturbing,96,55,61,75,57,1
absent,not active,43,78,100,96,60,1
present,active,100,44,88,73,77,0
late,active,95,92,100,70,90,0
present,disturbing,66,57,46,79,48,1
absent,active,57,92,67,71,62,1
late,disturbing,73,50,88,69,57,1
late,disturbing,96,88,76,60,73,0
present,active,88,92,42,92,74,1
late,disturbing,46,57,100,72,54,1
late,disturbing,50,100,99,70,70,0
late,disturbing,94,69,42,54,55,0
absent,not active,93,66,91,83,70,1
late,not active,42,88,83,76,63,1
present,active,43,51,75,88,56,1
present,disturbing,99,58,42,82,58,1
late,disturbing,73,71,64,97,56,1
late,not active,60,96,51,92,61,1
absent,disturbing,44,70,53,55,37,1
late,not active,61,72,68,85,59,1
late,disturbing,69,62,100,70,64,1
absent,not active,59,69,71,55,53,1
late,not active,74,77,41,63,56,1
late,active,55,71,99,67,70,0
absent,not active,99,65,48,89,57,1
late,active,66,100,57,77,69,1
absent,disturbing,44,100,75,88,55,1
late,active,54,62,63,83,54,1
late,active,53,60,90,58,62,0
absent,disturbing,83,49,92,96,56,1
absent,active,66,72,87,77,65,1
late,disturbing,44,93,98,94,65,1
absent,disturbing,68,62,61,64,45,1
present,not active,74,84,80,69,76,0
absent,disturbing,100,76,55,59,59,0
present,active,54,45,59,85,52,1
late,disturbing,89,76,88,51,71,0
late,disturbing,50,73,47,83,43,1
late,active,44,89,78,86,65,1
late,disturbing,97,88,51,76,65,1
late,active,84,99,64,96,77,1
late,active,62,50,72,83,56,1
late,not active,85,100,67,61,76,0
late,disturbing,50,82,94,53,62,0
absent,not active,68,93,83,59,68,0
late,not active,68,92,97,94,77,1
absent,active,63,69,50,93,50,1
absent,active,60,99,53,72,60,1
present,not active,72,49,74,69,62,1
late,active,50,83,93,84,70,1
present,disturbing,68,45,69,77,52,1
absent,active,95,55,82,81,67,1
late,not active,58,98,89,81,73,1
late,active,96,72,49,61,67,0
late,disturbing,90,46,46,71,47,1
present,active,69,84,53,53,68,0
present,active,92,89,47,93,76,1
late,active,46,81,71,67,61,1
absent,not active,52,96,76,97,61,1
absent,active,95,89,40,79,64,1
absent,active,74,94,94,73,77,0
late,not active,48,61,91,75,58,1
late,active,56,87,86,68,71,0
late,not active,62,62,56,61,52,1
late,not active,63,77,71,58,62,0
absent,disturbing,73,51,51,90,40,1
present,active,75,62,56,66,64,1
late,active,100,88,65,77,79,0
late,active,92,62,52,63,63,0
present,not active,73,52,89,88,68,1
absent,disturbing,48,62,99,79,51,1
late,disturbing,60,75,50,53,48,1
absent,active,45,87,79,81,60,1
present,active,96,40,75,93,70,1
present,not active,95,97,89,56,90,0
absent,not active,66,100,85,98,70,1
late,active,42,59,70,100,52,1
absent,active,82,77,47,50,58,0
late,active,90,85,86,79,82,0
absent,not active,92,65,49,82,55,1
present,not active,50,46,49,87,45,1
late,active,51,68,48,79,50,1
absent,disturbing,86,46,45,98,41,1
present,not active,62,73,93,77,73,1
present,disturbing,61,80,96,100,71,1
absent,disturbing,51,69,42,87,36,1
present,active,42,47,51,53,46,1
late,not active,40,83,77,98,58,1
late,disturbing,84,68,95,90,69,1
present,active,76,98,46,70,73,0
late,not active,64,79,70,88,63,1
late,active,96,94,75,99,83,1
present,not active,71,92,46,65,66,0
present,disturbing,43,99,98,68,72,0
absent,disturbing,44,50,57,98,32,1
present,active,54,86,64,54,68,0
absent,disturbing,42,86,55,87,43,1
absent,not active,64,45,73,61,47,1
present,disturbing,88,77,49,88,63,1
absent,not active,55,45,95,73,52,1
absent,disturbing,61,74,42,96,41,1
late,active,41,81,44,77,50,1
present,active,72,94,60,66,75,0
absent,active,80,58,97,71,68,1
late,active,88,74,62,50,69,0
present,active,40,47,43,83,43,1
absent,active,76,72,51,52,56,0
absent,disturbing,92,72,85,59,65,0
absent,not active,97,41,57,53,52,1
late,disturbing,89,53,44,83,49,1
late,not active,80,44,80,88,60,1
present,active,60,92,52,82,68,1
late,not active,54,79,55,94,54,1
late,active,57,63,50,73,51,1
late,not active,55,46,47,60,41,1
present,disturbing,77,73,49,78,58,1
late,active,97,41,65,98,62,1
late,not active,48,52,95,68,57,1
absent,not active,49,84,44,85,46,1
absent,disturbing,96,49,66,81,52,1
absent,active,56,100,47,56,57,0
present,not active,56,83,77,71,69,1
present,not active,78,81,45,89,65,1
present,disturbing,74,95,61,72,68,1
absent,disturbing,58,47,98,84,49,1
late,active,46,82,72,100,61,1
late,disturbing,73,90,43,55,55,0
late,not active,43,94,43,97,52,1
late,active,56,51,46,60,46,1
present,active,47,56,85,86,62,1
present,not active,44,72,55,55,54,1
present,active,97,96,43,91,78,1
absent,disturbing,92,86,86,100,70,1
late,active,92,71,49,68,65,1
absent,disturbing,87,72,65,58,56,1
absent,active,65,97,44,96,58,1
present,disturbing,59,66,84,68,61,1
late,not active,72,70,86,100,68,1
late,active,79,59,43,79,55,1
present,active,46,49,92,76,62,1
present,active,61,46,43,92,50,1
present,disturbing,88,57,51,87,57,1
present,active,60,100,56,93,72,1
present,disturbing,44,84,51,88,51,1
late,not active,48,65,88,94,59,1
late,disturbing,100,80,85,64,75,0
absent,disturbing,53,95,48,59,47,1
late,not active,63,98,56,62,64,0
absent,disturbing,59,63,96,65,54,1
present,active,71,63,56,65,63,1
absent,active,68,40,63,89,47,1
present,not active,59,85,59,60,64,0
present,disturbing,49,89,64,58,59,0
present,active,96,99,42,97,79,1
late,active,52,63,56,96,52,1
absent,active,50,65,45,91,43,1
present,not active,68,83,89,87,77,1
present,not active,71,66,81,65,69,0
late,disturbing,84,58,96,74,66,1
late,not active,90,66,54,97,62,1
absent,not active,85,78,82,69,68,1
late,disturbing,41,62,83,86,49,1
late,disturbing,42,94,64,96,53,1
late,disturbing,66,96,79,51,67,0
absent,active,63,52,41,75,42,1
late,not active,81,93,52,98,67,1
absent,not active,99,44,50,72,51,1
present,not active,66,61,61,69,59,1
present,active,74,96,94,50,88,0
late,active,63,53,60,89,53,1
present,active,75,86,93,62,84,0
absent,not active,40,96,87,86,61,1
present,not active,73,58,90,73,70,1
absent,disturbing,41,94,98,51,59,0
present,disturbing,86,57,61,97,60,1
absent,active,51,97,77,89,65,1
absent,disturbing,80,90,53,67,56,1
absent,active,45,83,54,99,50,1
absent,active,77,77,73,73,65,1
present,disturbing,89,60,96,96,73,1
absent,disturbing,82,62,60,56,50,1
absent,disturbing,97,40,66,96,49,1
present,not active,87,65,99,99,80,1
late,active,88,56,43,55,57,0
absent,not active,100,86,75,58,74,0
late,disturbing,51,68,48,83,42,1
late,not active,50,93,99,99,72,1
present,not active,82,60,52,61,61,0
present,not active,93,63,83,64,76,0
absent,not active,78,70,58,90,55,1
present,disturbing,68,54,97,59,65,0
present,not active,100,65,93,85,83,1
present,disturbing,87,98,86,63,82,0
present,not active,80,74,53,85,66,1
present,active,71,57,99,96,75,1
absent,active,68,97,95,78,76,1
late,not active,86,44,66,54,57,0
late,disturbing,52,96,90,68,66,1
late,active,71,68,70,62,64,0
absent,not active,88,79,64,88,64,1
present,not active,47,92,57,57,62,0
absent,active,93,78,54,80,65,1
absent,active,70,77,61,59,59,0
late,disturbing,47,85,48,62,47,1
present,active,60,94,95,76,83,0
late,active,68,40,75,76,56,1
late,not active,83,92,92,96,81,1
present,not active,72,81,94,80,79,1
absent,active,62,44,84,100,53,1
late,not active,51,95,93,88,71,1
late,disturbing,84,45,40,92,43,1
present,disturbing,47,93,48,94,54,1
present,active,73,96,78,84,82,1
present,disturbing,48,67,89,55,60,0
late,disturbing,58,51,55,62,41,1
present,disturbing,92,40,80,68,62,1
late,disturbing,63,82,69,87,58,1
absent,disturbing,65,86,65,97,54,1
late,disturbing,91,50,50,59,50,1
absent,not active,68,70,66,88,55,1
present,not active,47,81,66,57,61,0
absent,active,87,72,78,64,69,0
late,not active,46,46,58,55,42,1
present,active,99,77,88,79,88,0
late,disturbing,75,85,77,65,66,0
late,not active,86,57,43,75,54,1
present,not active,55,78,89,83,71,1
late,not active,62,77,61,89,58,1
absent,disturbing,97,44,83,81,56,1
present,active,50,53,87,70,63,1
late,not active,83,51,40,63,50,1
absent,not active,61,77,73,70,57,1
late,active,64,76,89,65,71,0
absent,not active,83,81,68,87,64,1
absent,disturbing,66,79,59,60,50,1
present,disturbing,66,49,47,50,46,1
late,disturbing,82,52,45,89,46,1
absent,active,56,41,58,70,41,1
absent,disturbing,80,74,92,98,64,1
absent,disturbing,89,65,62,70,54,1
absent,not active,91,76,45,74,57,1
late,active,97,71,63,88,72,1
late,active,87,73,43,82,62,1
present,not active,46,99,84,60,73,0
present,active,54,69,87,63,70,0
late,not active,95,67,98,79,78,1
present,active,78,66,89,91,77,1
late,not active,50,63,97,52,62,0
present,disturbing,99,42,76,59,64,0
present,not active,91,50,42,69,58,1
present,active,67,41,88,54,65,0
present,not active,78,40,60,83,56,1
absent,not active,42,67,79,89,49,1
absent,not active,44,44,64,85,37,1
absent,not active,98,65,47,74,57,1
absent,not active,90,100,56,92,69,1
late,active,90,81,93,96,83,1
late,not active,60,50,44,91,43,1
late,not active,67,60,77,82,60,1
present,disturbing,100,74,43,81,64,1
late,active,72,80,73,96,70,1
present,active,86,91,45,94,74,1
present,active,59,73,67,76,66,1
late,active,56,96,80,55,72,0
present,disturbing,98,66,86,83,75,1
absent,active,79,75,51,71,58,1
absent,disturbing,86,85,99,89,72,1
absent,disturbing,72,43,49,71,36,1
present,disturbing,74,58,71,54,59,0
absent,active,51,90,88,58,66,0
present,active,83,47,94,65,74,0
late,active,67,99,96,83,82,1
late,disturbing,75,45,51,72,44,1
present,active,98,83,67,50,82,0
absent,active,98,80,54,64,67,0
absent,not active,45,42,45,86,31,1
late,not active,97,78,41,84,64,1
absent,active,67,80,59,54,58,0
late,disturbing,86,87,55,66,63,1
present,active,58,51,100,73,69,1
present,disturbing,69,86,43,82,58,1
absent,active,51,51,88,68,53,1
late,active,56,69,56,76,55,1
absent,active,59,97,54,94,60,1
absent,disturbing,51,77,69,80,47,1
absent,active,96,48,72,84,62,1
absent,disturbing,67,55,62,77,43,1
present,not active,85,76,62,70,71,0
present,disturbing,46,61,70,92,51,1
late,active,93,70,87,85,78,1
present,not active,82,59,96,58,76,0
late,not active,87,67,96,61,75,0
absent,active,54,49,45,54,39,1
late,not active,69,93,47,55,61,0
late,disturbing,47,54,60,95,40,1
present,active,98,74,93,95,88,1
absent,not active,72,65,58,100,52,1
absent,not active,86,73,94,74,71,1
absent,not active,45,52,84,92,47,1
absent,disturbing,87,92,64,55,63,0
late,active,72,47,50,51,51,0
absent,not active,99,76,57,62,64,0
absent,disturbing,99,72,81,87,66,1
absent,active,89,78,84,66,73,0
late,disturbing,82,66,92,99,67,1
present,not active,65,74,85,61,71,0
present,disturbing,73,96,83,65,76,0
present,active,68,67,76,100,70,1
late,disturbing,68,43,45,92,39,1
late,active,86,79,73,59,74,0
absent,disturbing,47,91,46,83,43,1
late,not active,78,65,83,58,67,0
late,not active,62,91,49,100,59,1
present,disturbing,64,42,57,82,46,1
absent,active,48,73,72,51,54,0
absent,active,74,94,56,73,64,1
absent,not active,51,54,40,53,35,1
absent,not active,69,45,73,74,49,1
absent,not active,93,76,50,68,60,1
present,active,80,54,64,78,66,1
late,disturbing,91,69,55,61,58,1
absent,active,98,91,86,58,81,0
present,not active,51,49,48,82,46,1
absent,active,68,74,75,93,62,1
absent,not active,98,77,94,56,76,0
present,not active,87,79,46,91,67,1
present,active,69,83,66,88,72,1
late,active,62,59,93,53,66,0
late,disturbing,53,54,64,53,44,1
absent,not active,94,53,61,86,56,1
absent,not active,43,67,59,62,43,1
present,active,78,79,57,88,71,1
absent,active,94,56,52,52,57,0
absent,active,83,51,93,79,65,1
late,active,89,56,74,99,68,1
present,not active,95,57,83,98,75,1
absent,not active,44,99,52,91,52,1
late,disturbing,97,51,86,84,65,1
late,disturbing,80,72,96,59,69,0
absent,not active,67,92,58,56,59,0
late,not active,99,83,67,85,75,1
late,not active,88,89,83,56,78,0
present,not active,81,94,76,74,80,0
late,disturbing,70,46,95,85,57,1
late,not active,78,46,60,50,53,0
absent,disturbing,90,58,87,71,60,1
late,disturbing,82,57,67,58,55,1
present,not active,77,81,67,98,72,1
absent,active,44,69,47,97,43,1
absent,not active,44,63,43,60,37,1
late,not active,48,40,59,90,41,1
absent,active,95,67,49,59,60,0
absent,not active,74,40,98,60,57,1
absent,active,67,54,47,80,46,1
present,not active,89,97,84,84,87,0
present,disturbing,53,44,42,65,38,1
absent,disturbing,49,96,95,93,62,1
absent,active,74,77,67,77,62,1
present,not active,74,65,83,83,71,1
present,not active,84,57,46,85,59,1
absent,not active,64,59,86,74,56,1
absent,active,72,85,98,97,75,1
late,active,72,50,84,91,63,1
absent,not active,53,93,54,65,53,1
late,not active,48,70,75,71,56,1
late,disturbing,56,77,94,89,62,1
absent,active,89,92,75,83,75,1
late,active,57,80,58,82,60,1
absent,not active,98,43,49,100,50,1
late,disturbing,82,68,78,98,63,1
present,not active,79,62,84,88,72,1
late,disturbing,71,40,100,62,57,1
absent,not active,90,51,83,83,61,1
late,active,99,74,51,54,69,0
present,not active,57,59,67,76,58,1
late,not active,85,51,68,67,60,1
present,active,53,59,40,95,50,1
absent,not active,52,57,48,76,39,1
late,not active,75,67,50,61,56,1
absent,not active,46,41,80,69,42,1
present,not active,64,71,56,60,60,0
present,not active,45,62,79,57,59,0
absent,disturbing,99,56,57,50,52,0
present,disturbing,91,69,91,73,75,0
present,not active,56,49,70,78,55,1
present,disturbing,96,85,72,97,76,1
present,disturbing,81,49,63,54,56,0
present,disturbing,50,78,42,98,48,1
late,disturbing,51,68,93,71,57,1
absent,not active,51,68,56,87,45,1
present,not active,67,94,68,60,73,0
late,not active,100,62,75,75,71,1
late,disturbing,97,61,66,80,61,1
late,not active,82,53,92,91,67,1
absent,disturbing,52,45,81,51,41,1
absent,disturbing,49,78,41,91,38,1
late,active,83,44,81,87,64,1
